tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName|attitude
1016443409119129600|07-09-2018|@GOBBLERODGER @USDA Nope. I was told there are 168 problems to be solved before its my turn in line.|||0|@GOBBLERODGER,@USDA|positive
1016443270275260416|07-09-2018|@MNSoyGrowers @realDonaldT @SecretarySonny This is what they voted for.  
Thoughts & Prayers...|||0|@MNSoyGrowers,@realDonaldT,@SecretarySonny|positive
1016442946458128384|07-09-2018|@peta @vegankindofgirl @utmbhealth @USDA deplorable ???|||0|@peta,@vegankindofgirl,@utmbhealth,@USDA|positive
1016442811040911365|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016442688432951296|07-09-2018|RT @KariHamerschlag: Workers in U.S. meat plants are 3x more likely than the average worker to suffer serious injuries, including amputatio?|||8|@KariHamerschlag|positive
1016442245384491008|07-09-2018|@SenatorFischer @USDA What about the farmers/farm communities going under in our State ? Please take a leadership role.|||0|@SenatorFischer,@USDA|positive
1016442115486834688|07-09-2018|@USDA Launches Interactive Map of Opioid Epidemic Resources https://t.co/qXnf8EZqaV @usmayors @leagueofcities? https://t.co/Adpnh9dKI0|||0|@USDA,@usmayors,@leagueofcities|positive
1016441778558439428|07-09-2018|RT @SenatorTester: Helped break ground on Pardue Grain?s new crop processing facility in Cut Bank of Friday! I was proud to help secure a $?|||31|@SenatorTester|positive
1016441461926031360|07-09-2018|RT @JuneauEmpire: After visiting timber industry sites in Southeast #Alaska on Thursday, U.S. Department of Agriculture @SecretarySonny sai?|#Alaska||2|@JuneauEmpire,@SecretarySonny|positive
1016440312556867589|07-09-2018|RT @USDA_NRCS: Just as smart driving conserves fuel, smart farming conserves soil, water & other natural resources. Follow our #Conservatio?|||8|@USDA_NRCS|positive
1016440178699849730|07-09-2018|RT @USDA_NRCS: High tunnels protect plants from severe weather & extend the growing seasons. https://t.co/tUxSmgkJ1B https://t.co/4bXBjFaU9Q|||15|@USDA_NRCS|positive
1016439810460962817|07-09-2018|RT @USDAForeignAg: Five new agricultural officers sworn into foreign service @USDA by FAS Admin. Ken Isley today. They will serve as ag att?|||4|@USDAForeignAg,@USDA|positive
1016439279625560065|07-09-2018|RT @USDA: The Child and Adult Care Food Program responds to the First Lady?s #GimmeFive challenge! https://t.co/2wmee57S3E https://t.co/N5q?|#GimmeFive||36|@USDA|positive
1016438679336833025|07-09-2018|RT @NECornBoard: Check out the current Nebraska corn conditions. 86% of corn in Nebraska is good or excellent. @USDA https://t.co/6k3r7VaszP|||4|@NECornBoard,@USDA|positive
1016438298653294593|07-09-2018|RT @USDA: On his #BackToOurRoots tour last week, @SecretarySonny visited areas of Washington State and Oregon which are restoring #forest l?|#BackToOurRoots,#forest||12|@USDA,@SecretarySonny|positive
1016438220584837122|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016438101642829824|07-09-2018|RT @BRNAgNews_NH: #Tariff impacts calculated in next @USDA forecast @brownfield #agnews https://t.co/Y1a5KTO5Po|#Tariff,#agnews||1|@BRNAgNews_NH,@USDA,@brownfield|positive
1016438091186409472|07-09-2018|Spring #wheat?s quality moved up 3 points to 80% in good-to-excellent condition for the week ending July 8.? https://t.co/SBPZXWLS2h|#wheat||7||positive
1016437621222977537|07-09-2018|#Soybean crop progress is trending well ahead of recent years. @USDA 
https://t.co/8i3kSwQKyP https://t.co/M0pMY8Xwna|#Soybean||6|@USDA|positive
1016437400380362756|07-09-2018|Physiologically, the #corn crop remains well ahead of recent years, with 37% reaching the silking stage as of July? https://t.co/NHZ5Ir4sMV|#corn||5||positive
1016437149397204993|07-09-2018|RT @NJDA: We had a great time visiting the Ocean Inc. Child Development Center in Toms River today in the Ocean County College complex to c?|||2|@NJDA|positive
1016436906857500673|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016435529343217664|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016435248765153280|07-09-2018|RT @USDA: Agriculture @SecretarySonny visits Prince of Wales Island in Alaska during his 5th #BackToOurRoots tour. USDA photo by Paul Robbi?|#BackToOurRoots||13|@USDA,@SecretarySonny|positive
1016435234995306498|07-09-2018|RT @farmdaily: #Corn rated 75% good-to-excellent,  71% of the #soybean crop in good-to-excellent condition. 
https://t.co/LKz5Gqattk @usda?|#Corn,#soybean||1|@farmdaily,@USDA|positive
1016435058171961345|07-09-2018|RT @Sheril_: Hey ?@USDA? & ?@SecretarySonny? - I love that you?re working to tackle #foodwaste bc that can have such an enormous impact! Wo?|#foodwaste||2|@Sheril_,@USDA,@SecretarySonny|positive
1016434535410622464|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016434288781213696|07-09-2018|RT @PibbleLife: Support @capsweb! Call on @USDA to restore public access to its online database of puppy mill inspection reports. #EndPuppy?|||1|@PibbleLife,@capsweb,@USDA|positive
1016433635073970177|07-09-2018|RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?|||609|@GrowthEnergy,@USDA,@EPA|positive
