tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName,,,,,,,,,,
1026978070513811458|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026978047549952000|08-07-2018|@WhiteHouse @USDA So a small African nation will offset the lost pf produce sold to China and Europe??? This os Tru? https://t.co/2ejWENnCEc|||0|@WhiteHouse,@USDA,,,,,,,,,
1026978022308700160|08-07-2018|@globalsocialm2 @DrunDave @WhiteHouse @USDA This guy has the same response for everything. An idiot, on repeat.|||0|@globalsocialm2,@DrunDave,@WhiteHouse,@USDA,,,,,,
1026977858277785600|08-07-2018|RT @EEmersonWhite: @SteveScalise @USDA My rates went _way_ up this year, and my deductible is almost ten times higher, making the insurance?|||14|@EEmersonWhite,@SteveScalise,@USDA,,,,,,
1026977843547320320|08-07-2018|@SteveScalise @USDA You LIE. My family's going bankrupt due directly to @GOP decimation of affordable healthcare. N? https://t.co/8iSm5wfAWZ|||14|@SteveScalise,@USDA,@GOP,,,,,,,,
1026977802602590208|08-07-2018|@SteveScalise @USDA #wrongagainSteve|#wrongagainSteve||1|@SteveScalise,@USDA,,,,,,,,,
1026977788950020096|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026977742083039234|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026977694909714432|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026977685946474502|08-07-2018|@SteveScalise @USDA You mean forced off food stamps. I hope you lose your position this year.|||1|@SteveScalise,@USDA,,,,,,,,,
1026977680527425536|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026977631508615168|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
