tweetId,tweetDate,tweetText,hashtagList,location,numberRetweets,userMentions_userName,tweetSentiment
1024419222892376064,07-31-2018,RT @bigfatsurprise: This op-ed going strong. Latest to publish is @HoustonChron I guess a rigorous trial with 60% reversal of T2 diabetes a?,,,27.0,"@bigfatsurprise,@HoustonChron",neg
1024419170090246144,07-31-2018,"RT @RepJenniffer: The owners of Vaqueria Ceiba del Mar in Hatillo told us about their experiences dealing with Hurricane Maria's aftermath,?",,,9.0,@RepJenniffer,pos
1024418873234227201,07-31-2018,"RT @SecretarySonny: Toured a diverse poultry facility, where they raise hens to produce eggs and make fertilizer from the waste. This famil?",,,36.0,@SecretarySonny,neg
1024418481146478592,07-31-2018,"RT @SecretarySonny: Packed house at Hacienda Lealtad in Lares, where we had a lively townhall discussion with local leaders and producers a?",,,33.0,@SecretarySonny,neg
1024418387408154624,07-31-2018,RT @SecretarySonny: We value our longstanding partnership w/@US_FDA to combat the many variables related to anti-microbial resistance and l?,,,12.0,"@SecretarySonny,@US_FDA",pos
1024418326351683585,07-31-2018,RT @SecretarySonny: We value our longstanding partnership w/@US_FDA to combat the many variables related to anti-microbial resistance and l?,,,12.0,"@SecretarySonny,@US_FDA",pos
1024418074576019461,07-31-2018,"RT @FarmersGov: How do cover crops save you money? For starters, they suppress weeds. https://t.co/YEYmlxNC6X  #soilhealth https://t.co/fKd?",#soilhealth,,19.0,@FarmersGov,pos
1024416972564586498,07-31-2018,RT @bigfatsurprise: This op-ed going strong. Latest to publish is @HoustonChron I guess a rigorous trial with 60% reversal of T2 diabetes a?,,,27.0,"@bigfatsurprise,@HoustonChron",neg
1024416522515636224,07-31-2018,"@SecretarySonny @US_FDA Sonny, why is the USDA allowing manufactured Niacin added / tainted to many of our foods?",,,,,neg
1024416169162432512,07-31-2018,RT @SecretarySonny: With @repjenniffer and @SecDAgricultura visiting a family operated dairy that was impacted by Hurricane Maria. This are?,,,27.0,"@SecretarySonny,@RepJenniffer,@SecDAgricultura",pos
1024415866971205632,07-31-2018,RT @bigfatsurprise: This op-ed going strong. Latest to publish is @HoustonChron I guess a rigorous trial with 60% reversal of T2 diabetes a?,,,27.0,"@bigfatsurprise,@HoustonChron",neg
1024415834842820610,07-31-2018,"RT @DemocracyFwd: As if a trade war wasn?t bad enough, the @realDonaldTrump admin has also illegally rolled back protections for independen?",,,5.0,"@DemocracyFwd,@realDonaldTrump",neg
1024415805579124737,07-31-2018,RT @RepJenniffer: Conversando en @fortalezapr con el secretario de @usda @SecretarySonny junto a @ricardorossello @beatrizrossello @secdagr?,,,37.0,"@RepJenniffer,@fortalezapr,@USDA,@SecretarySonny,@ricardorossello,@BeatrizRossello",pos
1024415559675346944,07-31-2018,RT @SecretarySonny: The aid for farmers announced today is clear statement that other nations can't bully our agricultural producers to for?,,,1441.0,@SecretarySonny,neg
